block_code,latitude,longitude,Skill_Score
Z26B060,25.266728,51.543086,2.38
Z90B065,25.097329,51.56775,2.2
Z86B001,25.450626,50.878295,2.14
Z83B011,25.004017,51.024868,2.3
Z83B002,25.066318,51.198239,2.13
Z72B028,25.451741,51.171025,2.04
Z90B147,25.175433,51.595698,2.2
Z91B147,25.147253,51.539443,2.21
Z91B118,25.15274,51.545797,2.16
Z91B039,25.169814,51.574577,2.18
Z91B041,25.172568,51.574594,2.19
Z91B038,25.16951,51.571672,2.2
Z91B164,25.164001,51.515915,2.21
Z36B021,25.299334,51.487108,2.31
Z36B034,25.29527,51.482947,2.03
Z36B035,25.295819,51.479005,2.31
Z37B005,25.308101,51.492761,2.21
Z37B008,25.307156,51.490273,2.24
Z27B091,25.274267,51.551947,2.15
Z36B019,25.302605,51.486204,2.21
Z30B001,25.373051,51.468715,2.1
Z39B056,25.274067,51.503066,2.18
Z23B073,25.274742,51.509764,2.3
Z03B008,25.28598,51.526925,2.2
Z92B019,25.001602,51.576943,2.2
Z72B029,25.449116,51.165357,2.26
Z55B332,25.205551,51.35858,2.2
Z55B333,25.209363,51.35492,2.18
Z80B106,25.348504,51.213344,2.19
Z80B105,25.348111,51.216724,2.26
Z80B107,25.348504,51.210035,2.22
Z80B110,25.34066,51.214856,2.2
Z80B103,25.341138,51.218107,2.25
Z80B111,25.340173,51.21153,2.1
Z80B113,25.337984,51.215341,2.21
Z80B102,25.338465,51.218592,2.25
Z54B053,25.28053,51.469883,2.3
Z66B005,25.368845,51.509291,2.21
Z66B002,25.372666,51.518408,2.18
Z66B029,25.369733,51.526715,2.31
Z57B169,25.163531,51.436198,2.2
Z57B171,25.164965,51.433815,2.21
Z57B170,25.161939,51.434233,2.26
Z80B029,25.427759,51.22141,2.23
Z80B030,25.430741,51.214624,2.23
Z80B042,25.426949,51.16273,2.21
Z80B036,25.445339,51.179599,2.21
Z91B091,25.160791,51.550612,2.2
Z71B277,25.383134,51.4247,2.17
Z71B274,25.382815,51.416263,2.18
Z71B272,25.387783,51.415459,2.19
