19620,1
21322,2
24285,3
23720,4
21415,5
27488,6
19631,7
30999,8
24983,9
20892,10
20081,11
23634,12
29067,13
22710,14
36319,15
21843,16
26690,17
22363,18
22940,19
18939,20
16747,21
33819,22
22501,23
15841,24
20589,25
16595,26
20495,27
14887,28
17172,29
21949,30
17054,31
20674,32
25017,33
13491,34
16370,35
18129,36
24585,37
19179,38
19851,39
19122,40
15405,41
13189,42
11102,43
13261,44
11160,45
13360,46
11071,47
8031,48
9242,49
10038,50
11821,51
15866,52
12820,53
13150,54
12011,55
6253,56
15301,57
9874,58
9275,59
9972,60
8508,61
10504,62
9497,63
10944,64
30997,65
10166,66
11567,67
12852,68
11655,69
7974,70
8698,71
14436,72
17514,73
12101,74
9849,75
10969,76
9907,77
16969,78
10922,79
12397,80
10585,81
10643,82
10699,83
12471,84
10204,85
10923,86
11443,87
8753,88
9433,89
6937,90
10195,91
16110,92
15256,93
15304,94
9320,95
12080,96
8106,97
7807,98
7752,99
9070,100
8801,101
6289,102
5971,103
8503,104
11242,105
8923,106
9061,107
7729,108
5520,109
7944,110
7620,111
3254,112
5806,113
7639,114
6874,115
4794,116
11493,117
7648,118
10649,119
7033,120
8285,121
10211,122
10203,123
7334,124
10314,125
4357,126
5679,127
3495,128
7838,129
9931,130
11501,131
9146,132
7823,133
6384,134
6877,135
6625,136
4822,137
3097,138
8417,139
4276,140
4867,141
6543,142
5346,143
6819,144
8544,145
5105,146
10438,147
3464,148
5816,149
9102,150
8677,151
6453,152
6368,153
5372,154
4866,155
6766,156
3696,157
5618,158
7482,159
3305,160
9300,161
5146,162
6111,163
5202,164
4466,165
3688,166
4192,167
2393,168
3491,169
4645,170
4436,171
3762,172
6019,173
5164,174
3434,175
7677,176
4763,177
2961,178
1189,179
5145,180
4645,181
2509,182
3869,183
4876,184
3861,185
4338,186
4958,187
2111,188
2668,189
5109,190
5567,191
20061,192
4317,193
6364,194
5246,195
5822,196
4281,197
7402,198
5148,199
6259,200
3230,201
3626,202
3433,203
4683,204
9722,205
1964,206
6758,207
5785,208
4498,209
5485,210
3887,211
1769,212
7122,213
5700,214
4172,215
6027,216
3220,217
3122,218
4087,219
6017,220
4709,221
3555,222
3698,223
4196,224
2700,225
2204,226
3814,227
2616,228
1681,229
3635,230
2512,231
3737,232
901,233
5362,234
8061,235
2069,236
2214,237
5195,238
6012,239
3128,240
4358,241
1614,242
4177,243
3824,244
1755,245
1461,246
2049,247
3816,248
2311,249
1835,250
3108,251
3018,252
2647,253
2053,254
2168,255
1364,256
2262,257
5824,258
2985,259
1755,260
2269,261
2700,262
3626,263
2341,264
2385,265
2930,266
2605,267
3012,268
2895,269
2415,270
1905,271
2673,272
2044,273
16807,274
2470,275
2101,276
4193,277
5169,278
3897,279
4213,280
1509,281
1933,282
1765,283
2205,284
2920,285
1859,286
1760,287
3658,288
3951,289
1148,290
2749,291
3011,292
2379,293
7655,294
3517,295
1995,296
1095,297
3594,298
2978,299
3793,300
2142,301
2569,302
4267,303
1559,304
3003,305
1497,306
2316,307
4152,308
2853,309
2448,310
1320,311
1439,312
1832,313
1071,314
1888,315
1249,316
1269,317
1530,318
260,319
364,320
375,321
20,322
387,323
346,324
150,325
1599,327
1223,328
1640,329
8,330
24,331
1586,332
2005,333
60,334
38,335
175,336
485,339
63,342
2130,999
